pnum,sex,age,diffcol,diffmix,diffmon,samecol,samemix,samemon,dcolour,dmix,dmon,ccolour,cmix,cmon,Overallaccuracy,Male_DC,Male_DM,Male_DG,Male_SC,Male_SM,Male_SG,Female_DC,Female_DM,Female_DG,Female_SC,Female_SM,Female_SG
21,female,21,.69,.69,.94,.75,.75,.81,1.17,1.17,2.43,-.09,-.09,.34,.771666666666667,.63,.63,1,.75,.63,.88,.75,.75,.88,.75,.88,.75
22,female,27,.81,.81,.94,.63,.81,.69,1.21,1.76,2.05,.27,0,.53,.781666666666667,.75,.88,.88,.63,.75,.63,.88,.75,1,.63,.88,.75
23,female,26,.69,.63,.5,.81,.69,.63,1.37,.83,.33,-.19,-.08,-.17,.658333333333333,.75,.75,.5,.75,.63,.63,.63,.5,.5,.88,.75,.63
24,female,18,1,.75,1,.88,.81,.56,3.04,1.55,2.01,.34,-.1,.86,.833333333333333,1,.88,1,.75,.75,.63,1,.63,1,1,.88,.5
25,female,19,.81,.88,.94,.75,.56,.75,1.55,1.33,2.23,.1,.51,.44,.781666666666667,.88,.88,.88,.75,.5,.88,.75,.88,1,.75,.63,.63
26,female,24,.81,.63,.63,.63,.5,.38,1.21,.33,.03,.27,.17,.32,.596666666666667,.75,.88,.63,.63,.38,.5,.88,.38,.63,.63,.63,.25
27,female,18,.81,.63,.75,.75,.44,.63,1.55,.18,1.01,.1,.24,.17,.668333333333333,.75,.88,.88,.75,.38,.5,.88,.38,.63,.75,.5,.75
28,female,18,.88,.69,.94,.75,.88,.88,1.85,1.67,2.73,.25,-.34,.19,.836666666666667,1,.75,.88,.63,.88,.88,.75,.63,1,.88,.88,.88
29,female,18,.94,.88,.81,.75,.81,.44,2.23,2.05,.73,.44,.15,.51,.771666666666667,1,.88,1,.5,.75,.25,.88,.88,.63,1,.88,.63
30,female,19,.81,.63,.81,.88,.94,.69,2.05,1.89,1.37,-.15,-.61,.19,.793333333333333,.75,.75,1,1,1,.75,.88,.5,.63,.75,.88,.63
31,female,26,.63,.38,.69,.56,.69,.56,.48,.19,.65,.09,-.4,.17,.585,.5,.38,.75,.75,.63,.5,.75,.38,.63,.38,.75,.63
32,female,18,1,.94,.88,.69,.88,.69,2.36,2.73,1.67,.68,.19,.34,.846666666666667,1,1,.88,.63,.88,.75,1,.88,.88,.75,.88,.63
33,female,19,.88,.88,.88,.75,.81,.5,1.85,2.05,1.17,.25,.15,.59,.783333333333333,1,.88,.88,.5,.75,.63,.75,.88,.88,1,.88,.38
34,female,21,.75,.5,.94,.88,.69,.88,1.85,.5,2.73,-.25,-.25,.19,.773333333333333,.88,.75,1,.75,.38,.88,.63,.25,.88,1,1,.88
